# ['A1', 'tau1', 'A2', 'tau2', 'B']
9.446665725155981735e-05,7.963997713794250366e+00,3.125700025741941918e-04,7.802781748775051938e+02,-5.389602341711342013e-04
2.006519622839170874e-05,3.132049586588118828e+00,4.955760665606057141e-05,2.536648365621313701e+02,5.410087881573222925e-05
