# CH505TF SAXS T-Jumps Second Right Vectors
Double Exponential Decay Fit | Calculated with tr_tjump_saxs_analysis Python package | 25 February 2024time,double_exp_decay_model
1.237577577577577586e+02,-2.722344011306726194e-04
1.247557557557557573e+02,-2.725753349493855002e-04
1.257537537537537560e+02,-2.729158327516377600e-04
1.267517517517517547e+02,-2.732558951219753738e-04
1.277497497497497534e+02,-2.735955226409905565e-04
1.287477477477477521e+02,-2.739347158857045406e-04
1.297457457457457508e+02,-2.742734754299052508e-04
1.307437437437437495e+02,-2.746118018444454597e-04
1.317417417417417482e+02,-2.749496956975059237e-04
1.327397397397397469e+02,-2.752871575548274021e-04
1.337377377377377456e+02,-2.756241879799155715e-04
1.347357357357357444e+02,-2.759607875342224128e-04
1.357337337337337431e+02,-2.762969567773052092e-04
1.367317317317317418e+02,-2.766326962669681975e-04
1.377297297297297405e+02,-2.769680065593866551e-04
1.387277277277277392e+02,-2.773028882092171631e-04
1.397257257257257379e+02,-2.776373417696942629e-04
1.407237237237237366e+02,-2.779713677927167590e-04
1.417217217217217353e+02,-2.783049668289231792e-04
1.427197197197197340e+02,-2.786381394277587242e-04
1.437177177177177327e+02,-2.789708861375345735e-04
1.447157157157157314e+02,-2.793032075054800896e-04
1.457137137137137302e+02,-2.796351040777889508e-04
1.467117117117117289e+02,-2.799665763996605139e-04
1.477097097097097276e+02,-2.802976250153354837e-04
1.487077077077077263e+02,-2.806282504681281145e-04
1.497057057057057250e+02,-2.809584533004547786e-04
1.507037037037037237e+02,-2.812882340538586860e-04
1.517017017017017224e+02,-2.816175932690326528e-04
1.526996996996996927e+02,-2.819465314858384539e-04
1.536976976976976914e+02,-2.822750492433245503e-04
1.546956956956956901e+02,-2.826031470797414299e-04
1.556936936936936888e+02,-2.829308255325557568e-04
1.566916916916916875e+02,-2.832580851384626226e-04
1.576896896896896862e+02,-2.835849264333960632e-04
1.586876876876876850e+02,-2.839113499525394669e-04
1.596856856856856837e+02,-2.842373562303338150e-04
1.606836836836836824e+02,-2.845629458004859209e-04
1.616816816816816811e+02,-2.848881191959748275e-04
1.626796796796796798e+02,-2.852128769490586374e-04
1.636776776776776785e+02,-2.855372195912797171e-04
1.646756756756756772e+02,-2.858611476534702266e-04
1.656736736736736759e+02,-2.861846616657560223e-04
1.666716716716716746e+02,-2.865077621575613191e-04
1.676696696696696733e+02,-2.868304496576125394e-04
1.686676676676676720e+02,-2.871527246939409696e-04
1.696656656656656708e+02,-2.874745877938866627e-04
1.706636636636636695e+02,-2.877960394841009868e-04
1.716616616616616682e+02,-2.881170802905491180e-04
1.726596596596596669e+02,-2.884377107385125349e-04
1.736576576576576656e+02,-2.887579313525912949e-04
1.746556556556556643e+02,-2.890777426567058776e-04
1.756536536536536630e+02,-2.893971451740995154e-04
1.766516516516516617e+02,-2.897161394273394951e-04
1.776496496496496604e+02,-2.900347259383191634e-04
1.786476476476476591e+02,-2.903529052282594449e-04
1.796456456456456579e+02,-2.906706778177100344e-04
1.806436436436436566e+02,-2.909880442265514030e-04
1.816416416416416553e+02,-2.913050049739956114e-04
1.826396396396396540e+02,-2.916215605785879355e-04
1.836376376376376527e+02,-2.919377115582077347e-04
1.846356356356356514e+02,-2.922534584300702401e-04
1.856336336336336501e+02,-2.925688017107268800e-04
1.866316316316316488e+02,-2.928837419160672858e-04
1.876296296296296475e+02,-2.931982795613196713e-04
1.886276276276276462e+02,-2.935124151610521881e-04
1.896256256256256449e+02,-2.938261492291739554e-04
1.906236236236236437e+02,-2.941394822789359276e-04
1.916216216216216424e+02,-2.944524148229321950e-04
1.926196196196196411e+02,-2.947649473731004180e-04
1.936176176176176398e+02,-2.950770804407231817e-04
1.946156156156156385e+02,-2.953888145364289182e-04
1.956136136136136088e+02,-2.957001501701925564e-04
1.966116116116116075e+02,-2.960110878513367693e-04
1.976096096096096062e+02,-2.963216280885325703e-04
1.986076076076076049e+02,-2.966317713898005055e-04
1.996056056056056036e+02,-2.969415182625112504e-04
2.006036036036036023e+02,-2.972508692133865853e-04
2.016016016016016010e+02,-2.975598247485004258e-04
