# temp, max_i, sem
2.000000000000000000e+00,3.146326536347610059e-03,4.158814739980557559e-04
5.000000000000000000e+00,8.091774909363191881e-03,4.752166668862712337e-04
6.000000000000000000e+00,9.919319332031051317e-03,3.542853070496643133e-04
8.000000000000000000e+00,1.153850812899737122e-02,4.556494001156439328e-04
1.100000000000000000e+01,1.530333133748995600e-02,4.035505326104442164e-04
