3.101361958426305035e-02,-4.793333463286822749e+00,2.597830499939878749e-03
3.245608143954804153e-02,-4.942652256027765034e+00,1.445049974938114731e-03
3.389853892056406831e-02,-5.196846644104875068e+00,1.470422559589538861e-03
3.534099183292626484e-02,-5.374261328250167224e+00,1.550223097728781543e-03
3.678343998225332145e-02,-5.446921103719143176e+00,1.659907968096613687e-03
3.822588317416760612e-02,-5.405913812154318876e+00,1.726452750102924283e-03
3.966832121429532398e-02,-5.261951935410920100e+00,1.712373660677975976e-03
4.111075390826666315e-02,-5.108905967330017894e+00,1.709586596499453265e-03
4.255318106171594728e-02,-4.941155712605367789e+00,1.718443628488628382e-03
4.399560248028176745e-02,-4.701047290499380971e+00,1.720560112607555977e-03
4.543801796960719036e-02,-4.457608179181194785e+00,1.660282931766701459e-03
4.688042733533982764e-02,-4.204179750603064925e+00,1.637248745275313470e-03
4.832283038313208573e-02,-3.934961084864149861e+00,1.530438126513726429e-03
4.976522691864118664e-02,-3.620954245000095106e+00,1.450088192962548702e-03
5.120761674752944553e-02,-3.292517157071441325e+00,1.353555478035635374e-03
5.264999967546434012e-02,-2.999493702943242024e+00,1.239706226287975912e-03
5.409237550811871187e-02,-2.735281111364571860e+00,1.165359978113433490e-03
5.553474405117082846e-02,-2.457906200860093815e+00,1.061787929937672240e-03
5.697710511030468911e-02,-2.179613952233770746e+00,9.631695810027365292e-04
5.841945849121001066e-02,-1.913043214696485306e+00,8.635412134331901801e-04
5.986180399958244275e-02,-1.672088298491971825e+00,7.915360037604521467e-04
6.130414144112381059e-02,-1.452657074424111627e+00,6.843858671805542809e-04
6.274647062154206645e-02,-1.243583758130424322e+00,6.047791085501413736e-04
6.418879134655164354e-02,-1.055393513545299866e+00,5.240102113758166903e-04
6.563110342187347679e-02,-8.903581603410332113e-01,4.413244180152146108e-04
6.707340665323516249e-02,-7.397964432132603241e-01,3.839488635002027690e-04
6.851570084637120805e-02,-6.063297800177490648e-01,3.193622307523462226e-04
6.995798580702304592e-02,-4.894765239432938841e-01,2.607459308389151144e-04
7.140026134093929722e-02,-3.957665010221363966e-01,2.161714200133011852e-04
7.284252725387584115e-02,-3.149022307927905051e-01,1.869106584107275884e-04
7.428478335159599544e-02,-2.438764903440756859e-01,1.428392294801257307e-04
7.572702943987068280e-02,-1.855480814198649520e-01,1.201221184253916985e-04
