# CH505TF SAXS T-Jumps Second Right Vectors
Double Exponential Decay Fit | Calculated with tr_tjump_saxs_analysis Python package | 25 February 2024time,double_exp_decay_model
1.127797797797797870e+02,3.679825441091930660e-01
1.137777777777777857e+02,3.683107444872116831e-01
1.147757757757757844e+02,3.686384148831035601e-01
1.157737737737737831e+02,3.689655561619969992e-01
1.167717717717717818e+02,3.692921691863129130e-01
1.177697697697697805e+02,3.696182548159516745e-01
1.187677677677677792e+02,3.699438139084545440e-01
1.197657657657657779e+02,3.702688473191418916e-01
1.207637637637637624e+02,3.705933559012339340e-01
1.217617617617617611e+02,3.709173405059535966e-01
1.227597597597597598e+02,3.712408019826162198e-01
1.237577577577577586e+02,3.715637411787069966e-01
1.247557557557557573e+02,3.718861589399474754e-01
1.257537537537537560e+02,3.722080561103535690e-01
1.267517517517517547e+02,3.725294335322858474e-01
1.277497497497497534e+02,3.728502920464925596e-01
1.287477477477477521e+02,3.731706324921475471e-01
1.297457457457457508e+02,3.734904557068828845e-01
1.307437437437437495e+02,3.738097625268175239e-01
1.317417417417417482e+02,3.741285537865821076e-01
1.327397397397397469e+02,3.744468303193402292e-01
1.337377377377377456e+02,3.747645929568078627e-01
1.347357357357357444e+02,3.750818425292698488e-01
1.357337337337337431e+02,3.753985798655944395e-01
1.367317317317317418e+02,3.757148057932460095e-01
1.377297297297297405e+02,3.760305211382967139e-01
1.387277277277277392e+02,3.763457267254365357e-01
1.397257257257257379e+02,3.766604233779820010e-01
1.407237237237237366e+02,3.769746119178843391e-01
1.417217217217217353e+02,3.772882931657369765e-01
1.427197197197197340e+02,3.776014679407816432e-01
1.437177177177177327e+02,3.779141370609142569e-01
1.447157157157157314e+02,3.782263013426906406e-01
1.457137137137137302e+02,3.785379616013310744e-01
1.467117117117117289e+02,3.788491186507251252e-01
1.477097097097097276e+02,3.791597733034355322e-01
1.487077077077077263e+02,3.794699263707022041e-01
1.497057057057057250e+02,3.797795786624460490e-01
1.507037037037037237e+02,3.800887309872721387e-01
1.517017017017017224e+02,3.803973841524729282e-01
1.526996996996996927e+02,3.807055389640316978e-01
1.536976976976976914e+02,3.810131962266251615e-01
1.546956956956956901e+02,3.813203567436264096e-01
1.556936936936936888e+02,3.816270213171075731e-01
1.566916916916916875e+02,3.819331907478424326e-01
1.576896896896896862e+02,3.822388658353091939e-01
1.586876876876876850e+02,3.825440473776926531e-01
1.596856856856856837e+02,3.828487361718867499e-01
1.606836836836836824e+02,3.831529330134971767e-01
1.616816816816816811e+02,3.834566386968431551e-01
1.626796796796796798e+02,3.837598540149603776e-01
1.636776776776776785e+02,3.840625797596027291e-01
1.646756756756756772e+02,3.843648167212448952e-01
1.656736736736736759e+02,3.846665656890842500e-01
1.666716716716716746e+02,3.849678274510434095e-01
1.676696696696696733e+02,3.852686027937719526e-01
1.686676676676676720e+02,3.855688925026489744e-01
1.696656656656656708e+02,3.858686973617848626e-01
1.706636636636636695e+02,3.861680181540236845e-01
1.716616616616616682e+02,3.864668556609451855e-01
1.726596596596596669e+02,3.867652106628667319e-01
1.736576576576576656e+02,3.870630839388456979e-01
1.746556556556556643e+02,3.873604762666813528e-01
1.756536536536536630e+02,3.876573884229166933e-01
1.766516516516516617e+02,3.879538211828410521e-01
1.776496496496496604e+02,3.882497753204917634e-01
1.786476476476476591e+02,3.885452516086561614e-01
1.796456456456456579e+02,3.888402508188736895e-01
1.806436436436436566e+02,3.891347737214382319e-01
1.816416416416416553e+02,3.894288210853996124e-01
1.826396396396396540e+02,3.897223936785659815e-01
1.836376376376376527e+02,3.900154922675057589e-01
1.846356356356356514e+02,3.903081176175494660e-01
1.856336336336336501e+02,3.906002704927921121e-01
