# ['A1', 'tau1', 'A2', 'tau2', 'B']
-7.998919469309399843e-02,6.659583908310006350e+00,-2.439929316823730709e-01,6.176068773685041151e+02,5.712518155042445311e-01
4.959770186847640983e-02,7.077170859199211073e+00,6.758332756116772200e-02,4.229255584376329011e+02,7.682121197391947320e-02
